url,location,floor,floors_count,rooms_count,price,year_of_construction,house_material_type,finish_type,living_meters,kitchen_meters,district,street,house_number,underground
https://www.cian.ru/sale/flat/308019474/,Москва,14,25,1,19480000,0,,,13 м²,15 м²,Щукино, Ротмистрова,2к2,Октябрьское поле
https://www.cian.ru/sale/flat/308903193/,Москва,6,41,1,22431040,2027,Монолитный,Без отделки,"14,2 м²","13,4 м²",Даниловский,Большая Тульская ,10С5,Тульская
https://www.cian.ru/sale/flat/308907514/,Москва,10,19,1,27500000,0,,,25 м²,18 м²,Хорошево-Мневники,проспект Маршала Жукова,76к2,Народное Ополчение
https://www.cian.ru/sale/flat/299341036/,Москва,10,34,1,51000000,2023,,,"41,7 м²",10 м²,Дорогомилово,Поклонная ,9,Поклонная
https://www.cian.ru/sale/flat/307965932/,Москва,2,15,1,26977720,2027,Монолитно-кирпичный,"Предчистовая, чистовая",,,Даниловский, Серпуховский Вал,7с16,Тульская
https://www.cian.ru/sale/flat/306945307/,Москва,21,24,1,30000000,2022,,,"25,8 м²",10 м²,Хорошевский,Хорошевское шоссе,25Ак3,Полежаевская
https://www.cian.ru/sale/flat/308063057/,Москва,24,49,1,27800000,2021,,Без отделки,"17,2 м²",18 м²,Раменки, Лобачевского,114с1,Аминьевская
https://www.cian.ru/sale/flat/308620473/,Москва,23,26,1,21910000,2024,Монолитный,Без отделки,11 м²,"15,8 м²",Марфино, Академика Королева,21,Бутырская
https://www.cian.ru/sale/flat/308829538/,Москва,33,41,1,21000000,2024,,,18 м²,23 м²,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха
https://www.cian.ru/sale/flat/307098964/,Москва,7,48,1,33000000,2024,,Без отделки,27 м²,"7,7 м²",Ростокино, Вильгельма Пика,3С1,Ботанический сад
https://www.cian.ru/sale/flat/306603353/,Москва,3,36,1,30916850,2027,Монолитный,Без отделки,,,Беговой,Ленинградский проспект,вл8,Белорусская
https://www.cian.ru/sale/flat/308837547/,Москва,5,10,1,28900000,0,,,"21,5 м²","8,2 м²",Дорогомилово,Кутузовский проспект,30,Кутузовская
https://www.cian.ru/sale/flat/308118586/,Москва,31,36,1,24990000,2019,,,"25,3 м²",19 м²,Хорошево-Мневники,Шелепихинская набережная,34к1,Шелепиха
https://www.cian.ru/sale/flat/309009561/,Москва,3,27,1,22210238,2027,Монолитный,"Без отделки, предчистовая","18,1 м²",,Пресненский, Пресненский Вал,27С6,Белорусская
https://www.cian.ru/sale/flat/294476646/,Москва,3,5,1,18500000,1958,,,,,Пресненский, Юлиуса Фучика,2/30,Маяковская
https://www.cian.ru/sale/flat/308760982/,Москва,5,24,1,19800000,2005,,,,12 м²,Фили-Давыдково, Герасима Курина,18,Славянский бульвар
https://www.cian.ru/sale/flat/304453140/,Москва,49,66,1,44154000,2020,Монолитный,"Без отделки, чистовая",,,Пресненский,1-й Красногвардейский проезд,22с1,Москва-Сити
https://www.cian.ru/sale/flat/306073042/,Москва,3,17,1,13900000,2006,,,19 м²,"7,3 м²",Свиблово,Вересковая ,1К1,Свиблово
https://www.cian.ru/sale/flat/303016403/,Москва,12,28,1,20500000,2024,,Без отделки,"13,7 м²",16 м²,Даниловский,Автозаводская ,,ЗИЛ
https://www.cian.ru/sale/flat/308969450/,Москва,9,21,1,19905600,2027,Монолитный,"Без отделки, чистовая, чистовая с мебелью","12,5 м²","13,4 м²",Лефортово,,,Площадь Ильича
https://www.cian.ru/sale/flat/283946953/,Москва,4,6,1,28500000,2023,,Чистовая,15 м²,"6,3 м²",Хамовники,Зубовская ,7,Парк Культуры
https://www.cian.ru/sale/flat/308762650/,Москва,18,35,1,21700000,2022,,,"25,5 м²",18 м²,Раменки, Лобачевского,120к1,Аминьевская
https://www.cian.ru/sale/flat/298147602/,Москва,7,13,1,37642247,2024,Монолитный,Предчистовая,"45,1 м²","8,7 м²",Даниловский, Даниловский Вал,1А,Тульская
https://www.cian.ru/sale/flat/299499349/,Москва,5,21,1,21250000,2024,,,"15,8 м²","15,5 м²",Щукино,Щукинская ,3,Щукинская
https://www.cian.ru/sale/flat/306516350/,Москва,21,22,1,11300000,1985,,,"19,1 м²",10 м²,Братеево,Алма-Атинская ,2,Алма-Атинская
https://www.cian.ru/sale/flat/307771836/,Москва,12,18,1,62039716,2025,,Неизвестно,,,Дорогомилово,,,Москва-Сити
https://www.cian.ru/sale/flat/307655528/,Москва,3,14,1,12000000,1989,,,20 м²,9 м²,Марьино, Перерва,26К2,Марьино
https://www.cian.ru/sale/flat/308391305/,Москва,2,9,1,8900000,1971,,,21 м²,6 м²,Богородское,Краснобогатырская ,75К2,Преображенская площадь
https://www.cian.ru/sale/flat/308909121/,Москва,6,13,1,130383328,2025,Монолитно-кирпичный,Чистовая,"45,8 м²","15,8 м²",Мещанский,Садовая-Сухаревская ,14,Цветной бульвар
https://www.cian.ru/sale/flat/307950468/,Москва,4,13,1,37500000,0,,,14 м²,"16,8 м²",Пресненский, Сергея Макеева,9к1,Улица 1905 года
https://www.cian.ru/sale/flat/306709200/,Москва,15,15,1,11890000,2018,,,20 м²,10 м²,,бульвар Веласкеса,3к3,Прокшино
https://www.cian.ru/sale/flat/306809960/,Москва,2,22,1,17903652,2025,Монолитный,"Без отделки, чистовая",,,Марьина роща,Полковая ,1С12,Савёловская
https://www.cian.ru/sale/flat/280751407/,Москва,4,7,1,5600000,2024,,Без отделки,"12,5 м²","10,5 м²",, Луговая,,Рассказовка
https://www.cian.ru/sale/flat/308969214/,Москва,15,22,1,22758750,2025,"Монолитно-кирпичный, монолитный","Без отделки, чистовая с мебелью","14,1 м²","12,9 м²",Хорошево-Мневники,Жилой комплекс остров,3,Мнёвники
https://www.cian.ru/sale/flat/307062442/,Москва,2,9,1,8100000,1970,,,20 м²,6 м²,Чертаново Центральное,Днепропетровская ,27к1,Южная
https://www.cian.ru/sale/flat/309018369/,Москва,6,50,1,25621210,2027,Монолитный,Без отделки,"14,1 м²","17,9 м²",Раменки,м. Мичуринский проспект,,Мичуринский проспект
https://www.cian.ru/sale/flat/308652579/,Москва,13,16,1,7731410,2027,Монолитно-кирпичный,"Без отделки, чистовая",10 м²,"5,1 м²",Бирюлево Восточное,,к2,Орехово
https://www.cian.ru/sale/flat/308968622/,Москва,2,11,1,7731089,2027,Панельный,Чистовая,"9,5 м²",,Крюково,Зеленоград,22-й мкр,Зеленоград — Крюково
https://www.cian.ru/sale/flat/308914804/,Москва,10,22,1,7726475,2026,"Монолитно-кирпичный, монолитный","Без отделки, чистовая",12 м²,"13,5 м²",,,14.2,Летово
